Name,Type,Language,Adobe Analytics SDK,Install Adobe Analytics SDK,Lifecycle,Pages/Screens,Track Action,Media SDK,Install Media SDK,Media Methods Documentation,Products,Last Modified Date,Last Modified By
iOS/tvOS via Adobe Launch,,swift,"For iOS & tvOS, you do not need to download any specific SDK. DSAS will configure the Adobe Analytics Extensions in Adobe Launch. Please reach out to DSAS for the code needed for implementation.",This will be provided along with the code needed for implementation,"Please follow this link to view Lifecycle implementation instructions: https://developer.adobe.com/client-sdks/documentation/mobile-core/lifecycle/

Please follow this link for details to add Custom Context Variables to Lifecycle Calls: https://developer.adobe.com/client-sdks/documentation/mobile-core/lifecycle/ios/#collecting-additional-data-with-lifecycle ",Please follow this link to view Screen implementation instructions: https://developer.adobe.com/client-sdks/documentation/mobile-core/api-reference/#trackstate,Please follow this link to view Click implementation instructions: https://developer.adobe.com/client-sdks/documentation/mobile-core/api-reference/#trackaction ,"For iOS & tvOS, you do not need to download any specific SDK. DSAS will configure the Media Extension in Adobe Launch. Please reach out to DSAS for the code needed for implementation.",This will be provided along with the code needed for implementation,Please follow this link to view instructions on the Media Analytics Methods: https://developer.adobe.com/client-sdks/documentation/adobe-media-analytics/api-reference/#media-api-reference,"Fox Local tvOS,Fox Weather App tvOS,Fox 29 Philadelphia News iOS,Fox 2 Detroit News iOS,Fox 2 San Francisco News iOS,Fox 4 Dallas-Forth Worth News iOS,Fox 5 Atlanta News iOS,Fox 5 DC News iOS,Fox 5 New York News iOS,Fox 6 Milwaukee News iOS,Fox 7 Austin News iOS,Fox 9 Minneapolis-Saint Paul News iOS,Fox 10 Phoenix News iOS,Fox 11 Los Angeles News iOS,Fox 13 Seattle News iOS,Fox 13 Tampa News iOS,Fox 26 Houston News iOS,Fox 32 Chicago News iOS,Fox 35 Orlando News iOS,Fox Local iOS",11/28/2023,Iana Kazantseva
Android/Java via Adobe Launch,,java,"For Java based apps (Android mobile, Fire TV, Android TV), you do not need to download any specific SDK. DSAS will configure the Adobe Analytics Extensions in Adobe Launch. Please reach out to DSAS for the code needed for implementation.",This will be provided along with the code needed for implementation,"Please follow this link to view Lifecycle implementation instructions: https://developer.adobe.com/client-sdks/documentation/mobile-core/lifecycle/

Please follow this link for details to add Custom Context Variables to Lifecycle Calls: https://developer.adobe.com/client-sdks/documentation/mobile-core/lifecycle/android/#implementing-global-lifecycle-callbacks:~:text=To%20include%20additional,contains%20context%20data%3A ",Please follow this link to view Screen implementation instructions: https://developer.adobe.com/client-sdks/documentation/mobile-core/api-reference/#trackstate,Please follow this link to view Click implementation instructions: https://developer.adobe.com/client-sdks/documentation/mobile-core/api-reference/#trackaction ,"For Java based apps (Android mobile, Fire TV, Android TV), you do not need to download any specific SDK. DSAS will configure the Media Extension in Adobe Launch. Please reach out to DSAS for the code needed for implementation.``",This will be provided along with the code needed for implementation,Please follow this link to view instructions on the Media Analytics Methods: https://developer.adobe.com/client-sdks/documentation/adobe-media-analytics/api-reference/#media-api-reference,"Fox Local Fire TV,Fox Local Android TV,Fox Weather App Fire TV,Fox Weather App Android TV,Fox 29 Philadelphia News Android,Fox 2 Detroit News Android,Fox 2 San Francisco News Android,Fox 4 Dallas-Forth Worth News Android,Fox 5 Atlanta News Android,Fox 5 DC News Android,Fox 5 New York News Android,Fox 6 Milwaukee News Android,Fox 7 Austin News Android,Fox 9 Minneapolis-Saint Paul News Android,Fox 10 Phoenix News Android,Fox 11 Los Angeles News Android,Fox 13 Seattle News Android,Fox 13 Tampa News Android,Fox 26 Houston News Android,Fox 32 Chicago News Android,Fox 35 Orlando News Android,Fox Local Android",11/28/2023,Iana Kazantseva
Web/Javascript via Adobe Launch,,javascript,"For Javascript based apps, you do not need to download any specific SDK. DSAS will configure the Adobe Analytics Extensions in Adobe Launch. Please reach out to DSAS for the code needed inside the <head> tag.",This will be provided along with the code needed for implementation,Not Applicable,"Please follow this link to view Page implementation instructions: https://experienceleague.adobe.com/docs/analytics/implementation/vars/functions/t-method.html?lang=en#page-view-tracking-call-using-the-adobe-analytics-extension 

Note: the s.t() call should be made after the Launch script has been loaded","Please follow this link to view Click implementation instructions: https://experienceleague.adobe.com/docs/analytics/implementation/vars/functions/tl-method.html?lang=en#s.tl()-method-in-appmeasurement-and-the-analytics-extension-custom-code-editor 

Note: the s.tl() call should be made after the Launch script has been loaded","For Javascript based apps, you do not need to download any specific SDK. DSAS will configure the Media Extension in Adobe Launch. Please reach out to DSAS for the code needed for implementation.","Please follow the instructions in the following link on how to implement Media tracking: 
https://experienceleague.adobe.com/docs/experience-platform/tags/extensions/client/media-analytics-3x/overview.html?lang=en#using-from-a-webpage%2Fjs-app",Please follow this link to view instructions on the Media Analytics Methods: https://adobe-marketing-cloud.github.io/media-sdks/reference/javascript_3x/APIReference.html ,"OutKick Web,Fox Local Samsung TV,Fox Local Vizio,Fox Local LG TV,Fox News Xfinity Flex,Fox News Chromecast,Fox News Vizio,Fox 29 Philadelphia Web,Fox 2 Detroit Web,Fox 2 San Francisco Web,Fox 4 Dallas-Fort Worth Web,Fox 5 Atlanta Web,Fox 5 DC Web,Fox 5 New York Web,Fox 6 Milwaukee Web ,Fox 7 Austin Web,Fox 9 Minneapolis-Saint Paul Web,Fox 10 Phoenix Web,Fox 11 Los Angeles Web,Fox 13 Tampa Web,Fox 26 Houston Web,Fox 32 Chicago Web,Fox 35 Orlando Web,Fox 51 Gainesville Web,Fox 13 Seattle Web,My9 NJ,Fox LiveNOW,Fox Battle Ground News,Fox Local Web,Fox Centralized Login",4/1/2025,Iana Kazantseva
Roku,,brightscript,"Please follow this link to download the Roku Adobe Analytics & Media SDK:  https://github.com/Adobe-Marketing-Cloud/media-sdks/releases/tag/roku-v2.2.6

Note: 
Make sure the following values are set in the “ADBMobileConfig.json” Config file
“offlineEnabled”: false
“privacyDefault”: “optedin”

If ""offlineEnabled"": true, the hit will be discarded and not processed for reporting
 If ""privacyDefault"": ""optedout"" is set, then the hit will not be processed, and will not show up in reporting",Please follow this link to view the Roku Adobe Analytics Implementation details: https://experienceleague.adobe.com/docs/media-analytics/using/implementation/media-sdk/setup/ott-setup/set-up-roku.html?lang=en#mobile-library-%2F-sdk-implementation ,Not Applicable,Please follow this link to view Screen implementation instructions: https://experienceleague.adobe.com/docs/media-analytics/using/media-use-cases/analytics-with-ott/track-app-states.html?lang=en#roku ,Please follow this link to view Click implementation instructions: https://experienceleague.adobe.com/docs/media-analytics/using/media-use-cases/analytics-with-ott/track-app-actions.html?lang=en ,Please follow this link to download the Roku Adobe Analytics & Media SDK: https://github.com/Adobe-Marketing-Cloud/media-sdks/releases/tag/roku-v2.2.6,Please follow the instructions in the following link on how to implement Media tracking: https://experienceleague.adobe.com/docs/media-analytics/using/implementation/media-sdk/setup/ott-setup/set-up-roku.html?lang=en#mobile-library-%2F-sdk-implementation ,"Core Playback:
https://experienceleague.adobe.com/docs/media-analytics/using/tracking/track-av-playback/track-core/track-core-roku.html?lang=en

Buffering:
https://experienceleague.adobe.com/docs/media-analytics/using/tracking/track-av-playback/track-buffering/track-buffering-roku.html?lang=en

Seeking: 
https://experienceleague.adobe.com/docs/media-analytics/using/tracking/track-av-playback/track-seeking/track-seeking-roku.html?lang=en

Ads:
https://experienceleague.adobe.com/docs/media-analytics/using/tracking/track-av-playback/track-ads/track-ads-roku.html?lang=en","Fox Local Roku,Fox Weather App Roku",8/9/2023,Matthew Cheng
